0,2018.12.14 18:06,14,1,0,"뭔가 조용히 움직이고 있는듯...

2018년 15만원에 마무리되면 참 좋고

2019년에 25만 갈겁니다

이글은 곧 성지가 될것이요!",,,
1,2018.12.13 12:57,352,japo****,58.141.***.175,1,0,회사도 확실히 자리잡는데,[]
0,2018.12.12 11:33,745,kimd****,223.38.***.4,7,1,"기다리세요.

이번달말에 회장석방되고

내년에는 시세중심에 있을겁니다.

에스티 - 대북주, 시베스트로 폐렴획득, 기술수출
슈가논,주블리아 대박
인원감축으로 인건비 감소

제약 - 박항서감독으로 박카스 폭팔성장
물장사 대박 남음. 카페인먹음 못벗어남

용마 - 매출 2000억 돌파
오츠카 - 매출 3000억돌파
가야산샘물 인수, 1인가구로 생수매출 증가

에스티팜 - 올리고공장 활성화

유보금 많이 보유하고 있답니다.

지금까지 팩트임. 기사찾아보세요

내년목표가 25만이상 가겠죠?

기다리세요



엄대식 동아에스티 회장(오른쪽)과 스티븐 린튼(한국명 인세반·왼쪽) 유진벨 재단 회장이 항결핵제 후원 협약식에서 기념사진을 찍고 있다. [사진 제공 = 동아에스티]
동아에스티는 지난 11일 경기 안양시에서 대북 의료지원 단체 '유진벨 재단'과 북항 항결핵제 후원 협약을 체결했다고 12일 밝혔다.

이번 협약은 북한에서 다제내성결핵을 앓는 환자들의 치료를 지원해 기업의 사회적 책임을 다하기 위해 마련됐으며, 협약식에는 엄대식 동아에스티 회장, 스티븐 린튼(한국명 인세반) 유진벨 재단 회장 등이 참석했다.

동아에스티는 이번 협약을 통해 북한 다제내성결핵 환자 치료를 위한 항결핵제 '크로세린'을 유진벨재단에 지원하고, 유진벨 재단은 이를 북한 다제내성결핵 환자들에게 전달할 예정이다.

유진벨 재단은 북한에서 결핵 퇴치 활동을 펼쳐온 대북 의료지원 단체이다. 1995년 북한 주민 식량 지원을 시작으로 1997년 결핵퇴치로 사업을 전환, 2008년부터는 다제내성결핵 치료에 집중하고 있다.

동아에스티 관계자는 ""결핵은 치료시기를 놓치면 일상생활이 힘들거나 심하면 사망에 이르게 된다""며 ""이번 항결핵제 후원이 북한 결핵 환자들의 삶에 희망이 되길 바란다","['박항서 신드롬 효과가 아시아전역에 퍼질예감 박카스해외매출급상승예감', '정리 잘 하셨네요\n최근 3개월 기관외인 풀마수고 개인만 팔았네요\n물량모으면 움직이겠죠\n내년이 기대됩니다']"
1,2018.12.10 13:27,745,abso****,210.109.***.58,1,6,"10월에 주가지수가 많이 하락했길래 11월 초에 샀다가 오늘 108,000원에 전량매도 했습니다..

주봉이나 월봉을 보면 12만원까지는 그냥 쭉 올라갈 것 같아서 지금 팔 가격대는 아닌 것 같기는 한데.. 제가 산 이후로 단기간에 많이 올라서 그냥 차익실현 했네요..

조금 일찍 판 것 같아서 아쉽기는 하지만 남아있는 분들은 모두 성투하세요~ ^^

아래 블로그에 동아쏘시오홀딩스에 대해 계량분석한 글이 있으니 심심풀이 삼아 한 번 보세요

https://blog.naver.com/absolutecard/221416120026",[]
2,2018.12.10 01:32,557,bigf****,1.240.***.45,0,1,"한국지네틱팜, 베트남 전국체육대회 사격대회 공식 후원
제갈민 기자
승인 2018.12.04 16:53
사진=한국지네틱팜

한국지네틱팜은 지난달 15일부터 베트남 하노이 시에서 진행한 ‘2018년 베트남 전국체육대회’에 사격대회 공식 후원자로 참여했다고 4일 밝혔다.

한국지네틱팜은 지난 2일 사격대회 시상식에서 수상한 선수들에게 전달된 ‘진생칸 농축액’을 후원했다. 이날 시상식은 베트남 국영TV인 VTV 스포츠 뉴스를 통해 베트남 전국에 방영됐다.

또 시상식이 끝난 후 만찬에서 귀빈으로 참석한 베트남 국민영웅 박항서 베트남 축구 국가대표팀 감독과 베트남 체육장관, 체육1&#8231;2 차관, 국가대표 선수촌장 등에게 진생칸 농축액을 전달했다.

현재 한국지네틱팜은 폭발적으로 성장하는 베트남 시장에 진생칸 농축액 등 3개 품목에 대해 위생허가 3항목을 획득해 수출 중이며, ‘진생칸 열매차’ 등 7개 품목에 대해 추가 위생허가를 신청하고 승인을 기다리고 있다.

파이낸셜투데이 제갈민 기자",[]
3,2018.12.07 09:38,981,degu****,175.223.***.21,6,0,박항서 = 박카스,[]
4,2018.12.07 09:34,501,japo****,117.111.***.250,2,0,회장님 나오시죠,[]
5,2018.12.06 23:47,628,mein****,110.47.***.214,1,0,못가긋지 ㅋㅋ,['내일 상 가네.']
6,2018.12.06 00:55,512,mika****,211.246.***.201,4,0,거래량이 없고 대중이 접근하기에는 부담스러운 주가다. 삼성전자도 액면분할하는데 이 주식도 액면가 5000원에서 500원으로 바꾸어 주시요,[]
7,2018.12.06 00:30,616,mika****,39.7.***.124,6,0,우승은 따논 단상. 인구도 일억이 넘고 박카스병에 박항서 사진 붙이고 파니 날개돗인듯 잘 팔리네. 박카스는 중독성이 강하지. 몸에 맞으면 냉장고에 채워넣고 평생 먹지.동아제약은 제2의 창업 전성기를 맞았네,[]
8,2018.12.04 13:01,754,kdh2****,175.223.***.26,4,0,휴 ...,[]
9,2018.12.03 11:48,790,snus****,211.36.***.125,5,0,베트남에서 박감독 완전 대통령 그 이상급,[]
10,2018.11.30 08:55,696,kkyu****,125.176.***.53,3,2,"거래율개판
실적개판
뭐하나잘하는게없다
비젼제시
주주들을안심시킬행동을해라
그럴능력없으면 사퇴하라","['진짜 신기하다 이렇게 내릴줄이야...\n2019년 회장 석방되고\n계열사 에스티팜 동아에스티\n매출 올라오면 25만원이상 간다\n2019년은 시벡스트로 폐렴적응증 추가, 기술수출\n에스티팜 올리고 공장증설로 매출 극대화, 호재많다\n지금이 최저점이다']"
11,2018.11.29 12:58,417,hoss****,117.111.***.208,2,3,거래량이 말해준다,[]
