0,2018.12.14 18:26,11,0,1,"응징해야한다
누가 내돈가지고 이딴 주식 거래하래?",,,
1,2018.12.14 18:20,37,cy_0****,223.62.***.51,1,1,공시 안냈네 걍 찌라시 ㅋ찌라시에 개 망한거네,[]
0,2018.12.14 18:04,83,donn****,223.62.***.197,1,1,"235000원 매수자
추매 해야지요
한파관련주
겨울이라 날개 날듯 날개지오
배당은 기본이고
너무 사고
대형주는 싸다는 것이 매력","['유한이 왜 한파관련주예요? 주가가 추워서? ㅋ', '웃고간다', '한파랑 관계 있나요?']"
1,2018.12.14 17:50,134,redh****,175.223.***.130,0,1,"부광약품을 사라ㅋㅋ

0.3배당이다",[]
2,2018.12.14 17:20,285,crea****,211.36.***.53,1,4,이런 어쩐지,"['뭔 벌금...ㅋㅋㅋ 웃고간다...ㅉㅉㅉ', 'ㅋㅋ 벌금 좀 물어야 ㅋㅋ 신고 접수 ㅋㅋ', '계약금없는 계약서 나도 뭐든지 계약할수 있겠다ㅡ계약서 흐면서 돈받는건 당연한건데 계약금도 안받고 계약했다고 공시? ㅋ이게 가능한 공시냐?', '야 나도 극안티인데 이런건 나도 안햐~이건 상도를 넘엇네 으미', '돌빠 색히~', '예야 ~너 그러다 순실옆방 가는것알지~']"
3,2018.12.14 17:18,243,moda****,49.163.***.147,3,1,"12월중 입금된다
날자는 확정되지 않았다

다음분기에 실적으로 잡힌다

이상 주담과 통화내용



15일 이라고 글쓴 사람은 공갈친거다",[]
4,2018.12.14 16:49,287,cy_0****,223.62.***.51,2,1,도 아직 안받았는데 엘오 계약했다고 공시?이거가능한거야?,[]
5,2018.12.14 16:41,225,rogi****,203.254.***.75,2,0,"임마 아이디 하나 더 팠으면,

더 열심히 활동할 생각안하고,, 농땡이 치고 그라냐??

내 말했지,, 형아가 너한테 거는 기대가 크다고.","['쭈꾸미에 소주한잔 무러 간다 하마놈들아', '민트 똥싸러갔냐? 울고있냐? ㄸ치냐']"
6,2018.12.14 15:57,320,pepr****,106.243.***.58,2,2,아갈 쩌어어어어어어억 ㅋㅋㅋㅋㅋ,"['좀만기다려요\n곧 와요\n216만원 ^^', '빨리좀 와라 현기증 날것같다 ㅠㅠㅠ', '곧 올것같다 쪼매만 더 기다려라', '18.12.27']"
7,2018.12.14 15:56,213,godo****,39.7.***.216,2,0,"좋은 회사임은 분명한데 주가가 왜 이러냐
역시 대한민국 주식시장은 쓰레기구나ㅠ",[]
8,2018.12.14 15:56,169,dsct****,223.33.***.67,0,1,"나 허접 죽돌이요 인정하는걸로ㅎㅎ

장 끝나면 불금 즐겨야지

뭔 초딩 말투로 말꼬리잇기하냐

친구없냐 ㅉㅉㅉ

허기사 개쳐물려서 손절치고 제정신 이것냐 그런께 신용 미수쓰지 마라햇냐 안햇냐

구리수마수보내기 쓸쓸하면 계좌찍어라

엉아가 케익 치킨값 보내마

우리집 강아지 뽀삐 멍멍~

개쳐맞아도 꼬리 흔들고 헥헥~

///주말동안 집 잘지켜라 쳐맞지말고 풉~///",[]
