2018.12.24 13:38,8,cjmo****,118.33.***.240,0,0,"롯데카드, 롯데캐피탈, 롯데손해보험을 인수하여 nh농협카드, nh농협캐피탈, nh농협손해보험과 합병합시다!",
2018.12.24 10:02,204,qaz9****,110.70.***.161,2,1,성탄절이브인데.자사주 매입하고 배당넉넉히준다고공시한번하세요,[]
2018.12.22 20:47,699,supe****,220.93.***.89,1,7,"NH 금요일날 정리하길 잘했네....또 급락이 오겠네

전 SK이노베이션(096770)으로 갈아탔습니다....<<낙폭과대에 배당 두둑...글구 하락장에서도 상승탄력이 쎄네여...>>

이틀 투자하시고 두둑한 배당챙기고 주가상승 수익률 극대화","['맘을 곱게써야 복이오는법----심보가?', 'Sk이노 떨어지던데 ㅎㅎ']"
2018.12.22 20:22,444,c111****,183.106.***.197,1,0,"조아 .ㅡ
조아 .ㅡ
조아 .ㅡ",[]
2018.12.21 17:09,1231,k2ta****,110.70.***.22,10,1,"600원 이상만 주면

좋겠습니다~~~

꼭 주실거라 믿어요~","['배당 2000 넘어가면 보통 종소세 대행 맡기나요?', '내가 힘 써 볼테니 안심하고 있으세요']"
2018.12.21 15:53,865,hdsd****,58.125.***.46,13,3,3만원 이상만 가면 나는 유럽 여행도 가보고 할건데 3만원 까지만 올라보자~,"['22,000원.']"
2018.12.21 13:06,1221,tls3****,223.62.***.177,1,1,초보라 12월26일에사서 팔면 어찌되는거에요?,"['참 답답한 질문이네요 27일 배당락 알고 질문한듯한데 배당받고 배당락은 안당하고싶다는 심보 ㅋ 이기적인 생각이 만들어낸 질문이네요', '감사합니다. 모두 안좋은장 성투해요~~', '26일까지 매수 하고 27일 이후에 팔면 배당 받습니다\n내년 4월 22일경 계좌로 자동 입금 됩니다', '주식배당금\n12월26일에서12월28일 주식보유자는, 2019년 3월22일주총에서 결정하는 주식배당수익을결정\n4월에지급한답니다 참고되셨나요.', '못받아요']"
2018.12.21 12:18,581,kos9****,221.155.***.167,5,1,tv에보니촛불혁명이라며촛불은정의라고한다..과연그런지..미순이효순이사건때..이명박대통령시미국산소고기먹으면광우병걸린다고..박근헤대통령탄핵시일어난것이촛불아닌가..미국산소고기먹고광우병걸린살람있나..거짓아닌가거짓에데한사과햇나박근헤대통령돈받아먹었나..거짓을정의라하나..불의를정의하고거짓을참이라하나,[]
2018.12.21 10:47,836,qaz9****,211.216.***.210,10,0,올해의증권사의왕좌라네요 이때 자사주매입하고배당넉넉히공시하세요,"['주식배당 좀 하지... 5%라도...', '올해의 증권사 왕좌가 될려면 주가가 3만원은 넘어 가야되는데']"
2018.12.21 10:22,782,jspa****,220.93.***.89,2,6,"NH도 좋지만....전 이제 정리하고 SK이노베이션(096770)...배당 짱, 주가 탄력 좋고...","['24일 26일도 오늘보다 더 오를 수 밖에 없다\n문제는 배당락 후에 향배...', '배당하면 NH투자증권이다\n작년연말에 분산투자하던 것을 배당받기 위해 집중투자해서 세후 400만원 챙겼다\n올해는 460정도 될 것 같은데...', '잘가세유~~~~~~']"
2018.12.20 22:52,994,firs****,112.164.***.109,5,0,"벼르고있었는데 때마침 저가로오네요, 며칠만 갖고있을예정입니다.
근데혹시 배당금은 얼마인가요?","['13만원 밑으로도 갈듯함', '550원 예상', '성투하세요~~~', '주당 600원이 제일 우세하네요.']"
2018.12.20 16:26,473,nyur****,117.111.***.83,2,0,제목☞ 증권거래소를 상장시켜주십시오 제목으로 검색하시면 편리합니다 많은참여 부탁드립니다,['https://www1.president.go.kr/petitions/474389\n청와대 국민청원 싸이트 주소입니다']
2018.12.20 16:08,594,msem****,223.38.***.225,4,4,"낼장에 긍정의에너지 쏟아부음

너무나 알흠다운 조정",[]
