0,2018.12.14 13:11,160,0,0,"올해 중간배당을 2번이나 했는데

연발 배당이 얼마나 될 지 궁급합니다.

아래 게싯글보면 5000원 정도인데

중간배당 빼면 2500원 내외로 예상하는 건가요?",,,
1,2018.12.14 18:24,2,umyo****,180.66.***.241,0,0,"Good Luck to You!!!

분기 배당 기준일 (3/31, 6/30, 9/30, 12/31)
코웨이, 두산, 두산우, 두산2우B, 삼성전자, 삼성전자우, POSCO , 메디톡스, 한온시스템
(쌍용양회, 쌍용양회우, 씨엠에스에듀, 한국기업평가, 천일고속, 한국가구)

★ 기준일 단 하루 주주명부에 등재되어 있으면 그 주주에게 권리가 주어진다. ★
(기준일이란 권리를 부여하는 기준이 되는 날이라는 뜻 - 단 하루)

주의: 결제일 (settlement)
매수하고 나서 돈이 계좌에서 빠져 나가고 실제로 주식이 입고되고,
매도후 돈이 계좌에 들어오고 주식이 실제로 출고되는 날 (결제일) 은
매수/매도 후 2 거래일 후다 --> 주주명부에 명의개서

<<올해 3분기 배당의 경우>>

기준일 9/30
배당락 9/27 ------------------------------ 사도 배당 없고, 팔아도 배당 있다 (배당락).
<배당락 - 기준일이 지나서 주식이 입고/출고 되기 때문에 배당락이라고 한다. --- Ex-Dividend (ex = out)>
* 9/21일(금요일) 사거나 가지고 있어야

● 결제/입고/촐고일 : 매수/매도 후 2 거래일 후 (T + 2)
(기준일 2018년 9월 30일에 주주명부에 등재되어 있어야 한다)

(T + 2)
2018/9/21일 매수/매도 ----> 9월 28일 결제(입고/촐고)
2018/9/27일 매수/매도 ----> 10월 1일 결제(입고/촐고) (기준일 9/30 지나 입고/출고) --- 나가리 落 (配當落)
2018/9/28일 매수/매도 ----> 10월 2일 결제(입고/촐고) ( "" ) =

주말+추석 --- 장이 열리지 않음 (거래일이 아니다)
Closing days

<<올해 4분기(연말) 배당의 경우> --- 마지막 거래일이 확정되어야 확실한 날짜를 알 수 있다.

연말 배당 기준일 : 2018년 12월 31일
매년 마지막 영업일은 휴장,
12월 28일(금요일)이 마지막 거래일이면 12월 26일 가지고 있거나 매수해야 합니다.
배당락 : 2018년 12월 27일 사도 배당 無, 팔아도 배당 有)

● 결제/입고/촐고일 : 매수/매도 후 2 거래일 후 (T + 2)
(기준일 2018년 12월 31일에 주주명부에 명의개서되어 있어야 합니다)

(더 보기)
주주명부폐쇄 - 기준일 다음 날부터 일정기간 주주명부가 폐쇄되면 그 기간 명부에 이름을 올리지 (명의 개서) 못합니다. --- 기준일이 지나 나가리 된 주주들이 나중에 폐쇄기간이 지난 후 등재됩니다. 주주명부 폐쇄는 주주명부를 사용해서 (기준일) 권리주주들을 확정하는 데 편리하므로 사용하는 방법.

★★★★★★★★★★★
(2018년)
2018년 휴장일(거래 안 되는 날) = 12월 31일(월)
2018년 폐장일(마지막 영업일) = 12월 28일(금)
2018년 배당락(매수해도 배당금 못 받는 날) = 12월 27일(목)
2018년 배당금 받기 위해 마지막으로 매수해야 하는 날짜 = 12월 26일(수) 18:00까지
★★★★★★★★★★★
(2019년)
2019년 휴장일(거래 안 되는 날) = 12월 31일(화)
2019년 폐장일(마지막 영업일) = 12월 30일(월)
2019년 배당락(매수해도 배당금 못 받는 날) = 12월 27일(금)
2019년 배당금 받기 위해 마지막으로 매수해야 하는 날짜 = 12월 26일(목) 18:00까지
★★★★★★★★★★★
(2020년)
2020년 휴장일(거래 안 되는 날) = 12월 31일(목)
2020년 폐장일(마지막 영업일) = 12월 30일(수)
2020년 배당락(매수해도 배당금 못 받는 날) = 12월 29일(화)
2020년 배당금 받기 위해 마지막으로 매수해야 하는 날짜 = 12월 28일(월) 18:00까지",[]
0,2018.12.09 23:27,1097,kimk****,125.184.***.216,1,1,목표가 20만원,[]
1,2018.12.07 17:39,1066,yabu****,183.101.***.228,0,2,가서 감자탕에 소주 한잔들 하시길,"['아닙니다.\n두산 관계회사\n145개 중의 하나인\n종속회사 베네룩스의 감자 공시입니다.\n★ 베네룩스 == 벨기에 + 네델란드 + 룩셈부르크', '오메~~']"
2,2018.12.11 17:46,125,umyo****,180.66.***.241,0,0,"종속회사인 Doosan Benelux SA (두산 베네룩스) 감자결정

공시
http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181207800795

★ Doosan Benelux SA.
주요사업: 건설장비 등의 판매
설립일 : 1920/06
자산 : 6,181억

★ 두산 관계회사
145개

베네룩스 = 벨기에 + 네델란드 + 룩셈부르크",[]
3,2018.12.06 15:13,1013,thx2****,116.122.***.250,1,1,"2017년도에는 배당이 EPS보다 많던데, 그게 가능한가요?
그런건 거의 못봐서 내눈이 잘못된거 아닌가 싶었음

한주당 버는게 천오백원인데,
배당은 오천원씩 주는게 말이되나요?

궁금해서 여쭤봄","['두산 대주주 비율(51.63) 높고 자사주 비율(32.49%)이 높습니다.\neps에 계산시에는 전체 주식수(자사주 포함)로 나누지만 자사주에 대해서는 배당하지 않아도 됩니다.\n유보율, 부채비율, bps, 자사주 비율 (배당하지 않아도 되는 주식 32.49%) --- 이것이 핵심\n모두 보세요.\neps 만 보지 말고', '올해 예상 eps가 3,607입니다.\n그렇다면 배당하지 않는 자사주(32.49)에 대한\n수익을 배당에 보태면 5,200원 이상\n배당이 가능하다는 것이 충분히 이해가 될 겁니다.\n이것이 바로 그 배당의 마술 魔術 (매직 Magic)입니다.', '주는 데로 받으세요...ㅋㅋ 대주주지분많은데 뭐가 걱정']"
4,2018.12.06 19:56,535,toph****,123.143.***.228,0,1,"네 맞습니다
보통 두산같은경우에는 실적과 상관없이 배당액을일정하게 줍니다
반대로 실적이 가파르게 좋아져도 배당을 더 주지도 않지요",[]
5,2018.12.08 17:06,506,jws7****,211.36.***.136,0,1,빚져서 배당주는가보죠~ 뭐 ㅋ,[]
6,2018.12.11 17:39,251,umyo****,180.66.***.241,0,0,"두산 대주주 비율(51.63) 높고 자사주 비율(32.49%)이 높습니다.
eps에 계산시에는 전체 주식수(자사주 포함)로 나누지만 자사주에 대해서는 배당하지 않아도 됩니다.
유보율, 부채비율, bps, 자사주 비율 (배당하지 않아도 되는 주식 32.49%) --- 이것이 핵심
모두 보세요.
eps 만 보지 말고

올해 예상 eps가 3,607입니다.
그렇다면 배당하지 않는 자사주(32.49)에 대한
수익을 배당에 보태면 5,200원 이상
배당이 가능하다는 것이 충분히 이해가 될 겁니다.
이것이 바로 그 배당의 마술 魔術 (매직 Magic)입니다.",[]
7,2018.12.06 10:16,776,2bes****,49.169.***.63,0,2,"여기 세력은 양반입니다.
상상인이라는 종목은 매출 5000천억, 영업이익 1900억에 매년 성장하고 있고 금리인상,기업인수.바이오 투자등 온갖 재료와 이슈가 있지만 세력의 개미 죽이기에 메이저언론으로부터
철저히 차단을 당한채 무자비한 학살이 이루어 지고 있는데 세력은 지금 시총 8000억원대 per이 4~5배 수준까지 추락시켰습니다,
공매도와 외국인과 기티법인간의 통정거래로 의심되는 거래를 투자자별 거래로 확인해 보세요
개학살하는 상상인 세력에 비해 이종목의 세력은 진짜 양반아닙니까?",[]
8,2018.11.30 10:15,1158,dizn****,221.142.***.191,0,2,부채 많은 두산 쓰러지냐?,"['뒷목잡고 당신이나 쓰러지길 2222222222222', '글 쓴거보니 마음씨가 곱지않구나. ㅎㅎ뒷목잡고 당신이나 쓰러지길 ㅎㅎ']"
