0,2018.12.14 10:10,130,0,1,"인생은 장애물 경기라고 합니다
그러나 목적을 알고가는 사람에게는
장애 물의 의미가 달라질 것입니다
돈이없어 3일 굶 은 사람은 자신의 비참한
현실에 세상이 미워질 것입니다
3일 굶으면 담 뛰어넘지 않을 사람이
없 다고 애기를 합니다
반면에 스스로 단식원에 들어가 3일을
굶 었다고 생각해 본다면 자신의굶주림에
통곡하거나슬퍼하지는 않을 것입니다
무엇이 다를 까요~~??
스스로 택한 단식과 가난으로 인한 굶주림에는
목적이 있는것과 없는것의 차이가 있읍니다
비록 문제와 장애가 있더라도 목적을 알고
가는 삶 그것이 바로 홍익 인간이 선택한
멋지고 아름다운 폼나는 삶 아닐까요",,,
1,2018.12.14 07:35,162,summ****,223.39.***.116,0,1,100만원 가보자....물타기도 지겹다..,[]
0,2018.12.12 18:56,261,bios****,175.223.***.166,1,0,계좌 안 쪽팔릴 정도만 오르자,['?']
1,2018.12.07 11:35,768,mbjs****,125.181.***.189,1,1,60만원 초반에 매수해도 된다..조금만 기다리면 된다..관종,['톱텍..............................................................................비트코인']
2,2018.12.05 19:59,547,dyff****,121.151.***.138,5,1,"영풍문고 연간 천만원 가량 도서 구매해왔었는데 석포제련소 보고 깜짝 놀랐다..
주식하는 나도 영풍문고만 생각했지 사업이 다각화 되어있는줄 몰랐네..
아무튼 더러운 물 먹게 해주는 개가튼 기업에 여태껏 신나게 팔아줬었다니..
내 모든 지인들한테 불매운동 전하리...
내 눈에 찍히면 살아남는 기업, 사람 못봤다.
조심하길~",['되게되게 노무노무노무 무식한 놈이네......................영풍문고 매각해서 계열분리한 것도 모르냐?..........저러니 주식투기해서 손실만 보는 멍청한 가이섺퀴 인증']
3,2018.12.04 23:52,602,pufs****,218.50.***.224,0,1,"※저희 증권사는 주식담보대출 年 ４% 중반 수준으로 제공 가능합니다.

※대출만기 연장으로 인한 추가 금리인상 없이, 고정금리입니다

※연락 주시면 자세히 안내 드리겠습니다.

직통) 02)413-1157
HP) 010-3786-8868",['당신......................................뭐하시는............................................놈이세요?..............사기전과 24범 이광우??']
4,2018.12.03 13:52,674,lott****,175.200.***.155,6,3,"기업죽이기 시작되였구나.
이놈의 정부는 나라 빨리 망하게해서 북한이랑 적화통일이 꿈인듯",[]
5,2018.12.03 12:07,953,agri****,58.150.***.226,9,4,"외국 같으면 벌써 엄청난 벌금 맞고 상폐될 쓰레기 회사의 주가가 아직도 70만원대라니...
아 이 천박한 대한민국의 자본주의여!","['3류대 한양대 공대 똥통학과 토목공학과졸 무단방북 전과자 임종석.......................도로공사 전남지사 포장공사 작업반장 적격자................3류대 경희대졸 문죄인 오빠 덕분에 출세한 놈......선글라스 쓰고 전방부대 시찰 폼잡는 종북 또는 친북 첩자 의심되는 인간해충놈', '그래서 공부 열심히 하는 학생이 전도유망................................국민대졸 손석희 30만명 졸업생중 최고 출세한 놈이라나 뭐라나']"
6,2018.12.03 10:46,963,joke****,175.115.***.192,5,3,"주가에 다 반영되고도 넘친 악재.

우리나라 사람들 설레발은 세계최강.

내가 이주식 주주는 아니지만

이거 재무제표봐라.

너무 저평가되서 확인사살이 오히려

급등으로 이어질 가능성 농후.

이제부터 상승세 이어지겠네.

ㅋㅋ","['낙동강 똥물 마시고....................................일본원숭이 흡사한 귀태 대량생산된 악귀들..............부산 사직 야구장에 주황색 쓰레기봉투 대갈통에 덮은 채로 부산갈매기 떼창 부르는 인간해충', '하류에서 상수도 물먹는사람이 더 펄\n쩍 뛰어야 정상 아닌가?', 'KBS추적팀 보도하기전에...........................................대량 매수한 것같아요..................월급만큼 하루동안 수익 챙겼겠네요..........지잡대 출신 종편방송 근무자보다는.....그래도 공중파방송 직원들 학력이 쬐금 우월하다죠.....ㅋㅋㅋㅋㅋ........KBS 임직원 평균연봉이 1억원 약간 상회한다는데........영풍 단기투자로 재미도 보고......머리좋은 녀석들이군요', '참 잘했어요......................효자같아요.................ㅋㅋㅋ.', '수정했습니다', '오타 수정합니다..................재무재표 아니고............재무제표~대차대조표,손익계산서,현금흐름표 등 재무관련 여러 계산서 총칭하는 어휘가.....잼무제표..........지적질하는 70대 할멈이라고 욕하지 마셈......ㅎㅎ']"
7,2018.12.02 08:53,897,kimk****,59.151.***.50,2,6,ㅎㅎ,['경상도 살리려는 거지']
8,2018.12.01 16:32,1240,pret****,223.33.***.208,18,3,"영풍은 환경 오염 기업 대피해야 하고, 망해야함","['여자 주인공........................대갈통 메주형........엄청 가분수.................시청하느라고 엄청 고생.............노무노무노무 되게되게 역겨워.............머리가 가슴팍처럼 거대함............한마디로 외계인처럼 느꼈음.......최 00', '나 대구사는데 불매운동하자 영풍그룹상품들!']"
9,2018.12.01 11:13,930,f15k****,211.208.***.18,9,7,"몇년전부터나온얘기 기사검색
석포 위에태백 흐르는냇가주위 폐광엄청나게 많음
폐광에서나오는 침출수까지 영풍이 다뒤집어쓰고있음
물론 영풍도 잘한거는없음!이제부터라도 잘못된거는 잘못됐다얘기하고 당장부터고치면됨.
기업가치를봐라.
쫄리면 팔고나가믄됨.",['석포면장?.........ㅎㅎ..........봉화군수??.......ㅋㅋ..............경북도지사???']
10,2018.12.01 03:21,1187,down****,1.252.***.180,9,2,"조명래 환경부 장관, 봉화 영풍석포제련소 공장 패쇄 등 적극 검토


http://www.nbnnews.co.kr/news/articleView.html?idxno=205635


ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","['월요일은 폭우가 내린다. 다버리고 도망', '흑우 인증 ㅋㅋㅋㅋ']"
11,2018.11.30 23:52,837,sssp****,125.185.***.151,9,1,더러운 기업이구만. 석포제련소 당장 정화시켜라. 우둔한 주민들 환자 만들지말고 결국 국토를 더럽혀 국민생명 단축시키며 돈버는 회사에 투자하지말자.진짜,[]
12,2018.11.30 23:51,568,luci****,39.112.***.74,4,1,조만간 또 공격들어가겠구나,"['아마도 . 이제 김부겸 제거하고 총리제거하면 림종석밖에 없다 ㅎ', '???']"
13,2018.11.30 23:43,425,soni****,221.142.***.160,2,2,모두 나가주세요,[]
14,2018.12.01 12:34,727,kimk****,59.151.***.50,1,0,ㅎㅎ,"['청산가치가.............................어마무시하다.........................유보율 경악스럽다...............석포면 주민들 공장철거하고나면 고철주워 떼돈벌겠다', '상폐되면 따블먹는다']"
