21시간 전,M자대박손금#6139,"내일 무조건 오른다.외국인이 계속 주식을 사면 나중에 기관도 매도에서 매수로 전환한다.
문제는 개미주주가 너무 많이 매도를한다.
전체 매도보다. 매수에 더 개미주주들도 바꿔야한다.
오르자 한전주식이 날개를 달고 비상하자~~~~~~^^;",2,0,['예측 중']
19.01.23,롯데가 우승하는소리한다,"내일도 상승!
내일은 해가 뜬다.
적중율 백퍼 가즈아~~",2,0,['예측실패']
19.01.23,롯데가 우승하는소리한다,"주총공시떴군요.
이 판국에 참 뭐스러운 주총소집안건입니다
지나가는 미세먼지 띠끌 스모그 초초초
소액주주지만 주주의 권리 행사합니다.

무조건 반대",0,1,[]
19.01.23,개판5일전,"외인은사고 기관은 팔고...
갈피를ㅋㅋㅋ",1,0,['예측 중']
19.01.23,M자대박손금#6139,오늘 무조건 오른다.,1,0,[]
19.01.22,롯데가 우승하는소리한다,한번 더 가즈아!,1,0,['예측성공']
19.01.22,곽연순#3053,드러워라,0,0,[]
19.01.22,곽연순#3053,개 떡같네,0,1,[]
19.01.22,샤일런스,이젠 지수따라같이 움직이네..,0,0,[]
19.01.22,박영민#2041,지랄떨지말고 기다리라 내릿다가 오른다ㅎ,1,1,[]
19.01.21,yb레이,잘가라,0,1,['예측실패']
19.01.21,롯데가 우승하는소리한다,"오늘은 적중실패!
내일은 롯스트라다무스 재강림~~~",1,0,['예측성공']
19.01.21,지금만나러갑니다#0084,"아 ~ 18
반만 정리할껄
오늘 너무 미끄러졌네",1,0,['예측 중']
19.01.21,점쟁이뚱이,가즈아~~,1,0,['예측실패']
19.01.21,라이언일병 구하기,"공공기관이 썩을대로
썩었군요
정부감독기관이 도대체
뭘하고 신임사장은
허수아비?",1,0,[]
19.01.21,iiooii,더내려라,0,1,[]
19.01.21,조낸스트라이커,한전 직원들 부패한 쓰레기들이라 기업이 제대로 굴러 갈 턱이 있나,1,0,['예측성공']
19.01.19,롯데가 우승하는소리한다,"37000까지는 무조건 홀딩입니다.
35000 만리장성 장벽 뚫어주세요",2,0,['예측실패']
19.01.18,M자대박손금#6139,기다리자~~~~~~ ^^;,1,0,['예측실패']
19.01.18,노노놔,"주식 돈 이득본거팔아서 주식늘리는게 좋은가요?
아니면 그냥 두는게 좋은가요????",0,0,[]
19.01.17,라이언일병 구하기,"외국인은 사고
기관 개인은 팔자
흠 ~",0,0,[]
19.01.16,롯데가 우승하는소리한다,"한국전력을 책임질수있겠냐고 물었습니다.
탈원전을 포기하겠다는 말이면 됩니다.
문재인대통령님만 생각하십시요.
우리나라같은곳에서는 원전이 필요합니다
원전만큼 신의 축복도 없습니다.
문재인 당신만 생각하십시요.
태양광업자들이 뒷감당 대신 해주지않습니다.

원전이야말로 신의 축복임에 틀림이 없습니다",2,0,['예측성공']
19.01.15,ㅅㄹㄱ1231,주식한다고 깝싸는 머저리들 들어라~~우리집 옆에 아줌마가 주식한다는데 인터넷 홈페이지도 못들어가는 사람이다 그런 인간들이 주식한다고 깝싸는 지금 이 때 주식한다고? 때려쳐라 엘리트대학나오고 날고기는 펀드매니저도 돈잃는 마당에 진짜 가슴에 손얹고 자기가 그런기본도 안되는 빡아사리면 주식 안하는게 맞다,1,2,[]
19.01.15,개포동#2025,"슬픈 주식이다....

외국인이 사면 오르고 팔면 떨어지고...

진짜 우리나라 돈으로는 희망이 없나요. 아무도 한국전력 미래를 예측 못하죠. 분석한다면 전부 사기죠. 왜냐면 여기 목숨은 외국인 손에 달렸으니...

대량으로 매도하고 사람들이 따라팔면 또 대량 매수해서 올리고 반복해서 여기까지 왔네요 보니깐.

그냥 외국인 매매 동향만 보고 투자하시는게 좋을것 같습니다.

모두 성투하세요~",1,2,[]
19.01.15,네모반듯한꿈,일단 내려갔다가 다시올라오는데 시간이 필요할듯,0,0,[]
19.01.14,M자대박손금#6139,"기다리자.
즐거운 날 행복한 날 기다리면 오겠네요.
1차 목표가 37 / 40",3,0,['예측성공']
19.01.13,ZUNO,오를듯,1,0,['예측실패']
19.01.10,M자대박손금#6139,"1차 한전 목표가는 37로 보면 될거라 믿고 그 이후 안전 가격이 만들어지면 2차 목표가 설정하여도 무방합니다.
기다리자 목표가를 위하여 나중에 모두 축배에 잔 들고 소주 한 잔
행복 웃음~~~~ ^^; 모두 화이팅 하자구요.",4,0,['예측성공']
